OccID,Latitude,Longitude,CountryID_DisplayEng,PROVINCE
143471,44.26666667,-61.81666667,CANADA,
143347,49,-40,INTERNATIONAL WATERS,
142697,21.77388889,-72.26861111,TURKS & CAICOS IS (BRITISH OVERSEAS TERRITORY),
142474,49.5,-46,CANADA,
142054,52.7,-8.91666667,IRELAND,
142036,53.42138889,-6.27,IRELAND,
141921,57.26666667,-44,CANADA,
141588,51.36666667,-52.7,CANADA,
141564,54,-50,CANADA,
141307,55,-29,INTERNATIONAL WATERS,
141295,31.18333333,-150,UNITED STATES,
141267,59,-44,CANADA,
141221,37.76666667,-69.5,INTERNATIONAL WATERS,
140994,50,-133.4,CANADA,
140987,-20,80,INTERNATIONAL WATERS,
140931,50.91666667,-32,CANADA,
140830,51,-45,CANADA,
140607,19.43333333,-99.06666667,MEXICO,
140437,40.41666667,145,JAPAN,
140096,53.5,-53.83333333,CANADA,
139819,19.4326,-99.1332,MEXICO,
139770,34,-150,CANADA,
139679,54,-40,CANADA,
139450,47.7,-129.7666667,CANADA,
139000,54,-40,CANADA,
138699,44.71666667,-53.53333333,CANADA,
137803,45,-40,CANADA,
137664,48.91666667,-50.08333333,CANADA,
136925,53.75,-51.18333333,CANADA,
136783,36.7,28.78333333,TURKEY,
136763,19.5,-77.5,JAMAICA,
136713,48,-131.5333333,CANADA,
136364,10.83333333,-160,INTERNATIONAL WATERS,
136239,37.46916667,126.4505556,"KOREA, REPUBLIC OF",
136132,48,-50,INTERNATIONAL WATERS,
135577,56.83333333,-177.35,INTERNATIONAL WATERS,
135423,48,-47,CANADA,
134277,48,-50,CANADA,
134096,45,-47.83333333,CANADA,
133996,18.5,-77.9,JAMAICA,
133866,55.08333333,-57.5,INTERNATIONAL WATERS,
133350,50,-40,INTERNATIONAL WATERS,
133112,43.2,156.05,INTERNATIONAL WATERS,
132810,50,-40,INTERNATIONAL WATERS,
132759,34.42722222,135.2441667,JAPAN,
132218,48,-50,CANADA,
131756,53,-15,IRELAND,
131534,19.29277778,-81.35777778,CAYMAN ISLANDS,
131420,50,-45,INTERNATIONAL WATERS,
131381,55,-50,INTERNATIONAL WATERS,
131295,40,-140,INTERNATIONAL WATERS,
131210,48,-50,INTERNATIONAL WATERS,
130587,51.38333333,-52.7,CANADA,
130415,50,-45,INTERNATIONAL WATERS,
130339,54,-40,CANADA,
129834,53,-30,CANADA,
129447,52.7,-8.91666667,IRELAND,
129369,60,-40,CANADA,
127719,48,-40,CANADA,
127517,48,-50,CANADA,
127487,43,-51.33333333,CANADA,
127154,50,-30,INTERNATIONAL WATERS,
127084,35.6895,139.6917,JAPAN,
127027,-72.55,7.73333333,ANTARCTICA,
126489,35.6895,139.6917,JAPAN,
125600,46,-40,CANADA,
125135,48,-50,INTERNATIONAL WATERS,
125085,48,-50,CANADA,
125065,21.03333333,-85.86666667,MEXICO,
124935,53.86666667,-54.96666667,CANADA,
124906,43.36666667,-56.73333333,CANADA,
124487,52.71666667,-8.91666667,IRELAND,
124382,57.98333333,-34.13333333,CANADA,
124298,48,-50,CANADA,
123578,59,-50,CANADA,
123257,53.41666667,-6.26666667,IRELAND,
