"REF_DATE","GEO","DGUID","Screened traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-03","Winnipeg/James Armstrong Richardson International, Manitoba","","Domestic sector passengers","Number","223","units","0","v1573797657","163.2","129955","","","","0"
"2019-03","Winnipeg/James Armstrong Richardson International, Manitoba","","Transborder sector passengers","Number","223","units","0","v1573797658","163.3","26107","","","","0"
"2019-03","Winnipeg/James Armstrong Richardson International, Manitoba","","Other International sector passengers","Number","223","units","0","v1573797659","163.4","22433","","","","0"
"2019-03","Winnipeg/James Armstrong Richardson International, Manitoba","","Non-passengers","Number","223","units","0","v1573797660","163.5","1775","","","","0"
"2019-03","Calgary International, Alberta","","Total screened traffic","Number","223","units","0","v1573797626","13.1","543900","","","","0"
"2019-03","Calgary International, Alberta","","Total passengers","Number","223","units","0","v1577191371","13.6","538610","","","","0"
"2019-03","Calgary International, Alberta","","Domestic sector passengers","Number","223","units","0","v1573797627","13.2","305609","","","","0"
"2019-03","Calgary International, Alberta","","Transborder sector passengers","Number","223","units","0","v1573797628","13.3","163382","","","","0"
"2019-03","Calgary International, Alberta","","Other International sector passengers","Number","223","units","0","v1573797629","13.4","69619","","","","0"
"2019-03","Calgary International, Alberta","","Non-passengers","Number","223","units","0","v1573797630","13.5","5290","","","","0"
"2019-03","Edmonton International, Alberta","","Total screened traffic","Number","223","units","0","v1573797636","52.1","305708","","","","0"
"2019-03","Edmonton International, Alberta","","Total passengers","Number","223","units","0","v1577191373","52.6","299277","","","","0"
"2019-03","Edmonton International, Alberta","","Domestic sector passengers","Number","223","units","0","v1573797637","52.2","216995","","","","0"
"2019-03","Edmonton International, Alberta","","Transborder sector passengers","Number","223","units","0","v1573797638","52.3","53413","","","","0"
"2019-03","Edmonton International, Alberta","","Other International sector passengers","Number","223","units","0","v1573797639","52.4","28869","","","","0"
"2019-03","Edmonton International, Alberta","","Non-passengers","Number","223","units","0","v1573797640","52.5","6431","","","","0"
"2019-03","Vancouver International, British Columbia","","Total screened traffic","Number","223","units","0","v1573797661","169.1","878072","","","","0"
"2019-03","Vancouver International, British Columbia","","Total passengers","Number","223","units","0","v1577191378","169.6","867177","","","","0"
"2019-03","Vancouver International, British Columbia","","Domestic sector passengers","Number","223","units","0","v1573797662","169.2","359380","","","","0"
"2019-03","Vancouver International, British Columbia","","Transborder sector passengers","Number","223","units","0","v1573797663","169.3","281738","","","","0"
"2019-03","Vancouver International, British Columbia","","Other International sector passengers","Number","223","units","0","v1573797664","169.4","226059","","","","0"
"2019-03","Vancouver International, British Columbia","","Non-passengers","Number","223","units","0","v1573797665","169.5","10895","","","","0"
"2019-04","Total of eight largest airports, Canada","","Total screened traffic","Number","223","units","0","v1573797666","100000.1","4432901","","","","0"
"2019-04","Total of eight largest airports, Canada","","Total passengers","Number","223","units","0","v1577191379","100000.6","4374733","","","","0"
"2019-04","Total of eight largest airports, Canada","","Domestic sector passengers","Number","223","units","0","v1573797667","100000.2","1937385","","","","0"
"2019-04","Total of eight largest airports, Canada","","Transborder sector passengers","Number","223","units","0","v1573797668","100000.3","1300421","","","","0"
"2019-04","Total of eight largest airports, Canada","","Other International sector passengers","Number","223","units","0","v1573797669","100000.4","1136927","","","","0"
"2019-04","Total of eight largest airports, Canada","","Non-passengers","Number","223","units","0","v1573797670","100000.5","58168","","","","0"
"2019-04","Halifax/Robert L Stanfield International, Nova Scotia","","Total screened traffic","Number","223","units","0","v1573797631","21.1","151536","","","","0"
"2019-04","Halifax/Robert L Stanfield International, Nova Scotia","","Total passengers","Number","223","units","0","v1577191372","21.6","147749","","","","0"
"2019-04","Halifax/Robert L Stanfield International, Nova Scotia","","Domestic sector passengers","Number","223","units","0","v1573797632","21.2","104233","","","","0"
"2019-04","Halifax/Robert L Stanfield International, Nova Scotia","","Transborder sector passengers","Number","223","units","0","v1573797633","21.3","20740","","","","0"
"2019-04","Halifax/Robert L Stanfield International, Nova Scotia","","Other International sector passengers","Number","223","units","0","v1573797634","21.4","22776","","","","0"
"2019-04","Halifax/Robert L Stanfield International, Nova Scotia","","Non-passengers","Number","223","units","0","v1573797635","21.5","3787","","","","0"
"2019-04","Montréal/Pierre Elliott Trudeau International, Quebec","","Total screened traffic","Number","223","units","0","v1573797646","87.1","662834","","","","0"
"2019-04","Montréal/Pierre Elliott Trudeau International, Quebec","","Total passengers","Number","223","units","0","v1577191375","87.6","654245","","","","0"
"2019-04","Montréal/Pierre Elliott Trudeau International, Quebec","","Domestic sector passengers","Number","223","units","0","v1573797647","87.2","216634","","","","0"
"2019-04","Montréal/Pierre Elliott Trudeau International, Quebec","","Transborder sector passengers","Number","223","units","0","v1573797648","87.3","183868","","","","0"
"2019-04","Montréal/Pierre Elliott Trudeau International, Quebec","","Other International sector passengers","Number","223","units","0","v1573797649","87.4","253743","","","","0"
"2019-04","Montréal/Pierre Elliott Trudeau International, Quebec","","Non-passengers","Number","223","units","0","v1573797650","87.5","8589","","","","0"
